stop_id,stop_name,stop_lon,stop_lat
41292,CHOMEDEY/S. MARTIN,-73.750168,45.555179
41293,CHOMEDEY/CARTIER,-73.73434,45.53914
41294,CHOMEDEY/S. MARTIN,-73.751805,45.556235
41295,CHOMEDEY/FACE AU 2911,-73.767588,45.57039
41296,CHOMEDEY/FACE AU 2911,-73.767217,45.570526
41297,CHOMEDEY/7E RUE,-73.736264,45.541577
41298,CHOMEDEY/FACE AU 573,-73.737046,45.541884
41299,CHOMEDEY/70E AV.,-73.737441,45.542771
41300,CHOMEDEY/PERRON,-73.738245,45.54307
41301,CHOMEDEY/N. DAME,-73.739357,45.54469
41302,CHOMEDEY/N. DAME,-73.739805,45.544653
41303,CHOMEDEY/MONOD,-73.74116,45.547152
41304,CHRISTIANE/FRIDOLIN,-73.808937,45.583
41305,CHRISTIANE/FABIOLA,-73.805659,45.583378
41306,CHRISTIANE/FABIOLA,-73.805377,45.583505
41307,CHRISTIANE/FLEURY,-73.803172,45.583304
41308,CHRISTIANE/BERNADETTE,-73.811063,45.582788
41309,CHRISTIANE/BERNADETTE,-73.810692,45.582879
41310,CHRISTIANE/FRIDOLIN,-73.809167,45.582811
41311,CHRISTIANE/GILLES,-73.812991,45.583862
41312,CLARENDON/SOUVENIR,-73.778442,45.532722
41313,CLARENDON/N. DAME,-73.778513,45.532359
41314,CLEROUX/FAVREAU,-73.779228,45.558853
41315,CLEROUX/GINGRAS,-73.774547,45.560385
41316,CLEROUX/GENEST,-73.776977,45.559507
41317,CLEROUX/GENEST,-73.776888,45.559696
41318,CLEROUX/GINGRAS,-73.774675,45.560196
41319,CLEROUX/FAVREAU,-73.779079,45.559049
41320,CLEROUX/C. LABELLE,-73.77282,45.560704
41322,METRO CONCORDE,-73.708571,45.561875
41323,CONCORDE/ROANNE,-73.70623,45.562734
41324,CONCORDE/ROANNE,-73.706551,45.562886
41325,CONCORDE/CLUNY,-73.70458,45.563555
41326,CONCORDE/CLUNY,-73.704466,45.563934
41327,CONCORDE/12E AV.,-73.701448,45.565123
41328,CONCORDE/12E AV.,-73.701359,45.565496
41331,CONCORDE/15E RUE,-73.698455,45.566731
41333,CONCORDE/16E RUE,-73.69951,45.566482
41334,CONCORDE/6E AV.,-73.69678,45.567681
41335,CONCORDE/6E AV.,-73.696858,45.567969
41336,CONCORDE/BAZIN,-73.695336,45.568485
41337,CONCORDE/ETOILE,-73.695132,45.568926
41338,CONCORDE/QUINTAL,-73.693788,45.569315
41339,CONCORDE/LAURENTIDES,-73.692151,45.570209
41340,CONCORDE/SAINT-LUC,-73.692869,45.570154
41341,CONCORDE/S. HUBERT,-73.691052,45.570913
41342,CONCORDE/AVENIR,-73.716931,45.55718
41343,CONCORDE/S. HUBERT,-73.691066,45.57129
41344,CONCORDE/JUBINVILLE,-73.689108,45.572041
41345,CONCORDE/JUBINVILLE,-73.689314,45.572283
41346,CONCORDE/GOINEAU,-73.686583,45.573411
41347,CONCORDE/ALEXANDRE,-73.687191,45.573429
41348,CONCORDE/NORMANDIE,-73.684664,45.574526
41349,CONCORDE/NORMANDIE,-73.684852,45.574944
41350,CONCORDE/LORRAINE,-73.683239,45.575524
41351,CONCOR/FACE AU 1395,-73.716318,45.557874
41352,CONCORDE/BRETAGNE,-73.682762,45.576582
41353,CONCORDE/ALOUETTES,-73.681449,45.576894
41354,CONCORDE/ALOUETTES,-73.681656,45.577416
41355,CONCORDE/N.-D.-DE-FATIMA,-73.679805,45.578306
41356,CONCORDE/N.-D.-DE-FATIMA,-73.680391,45.578398
41357,CONCORDE/ LOURDES,-73.678923,45.580102
41358,CONCORDE/J.-J.-JOUBERT,-73.67858,45.580661
41359,CONCORDE/GARDEUR,-73.676569,45.581446
41360,CONCORDE/DEAUVILLE,-73.715154,45.558146
41361,CONCORDE/AUT. 19 S.,-73.675318,45.583014
41362,CONCORDE/AUT. 19 N.,-73.675168,45.584157
41363,CONCORDE/GRAND-PRE,-73.673892,45.586026
41364,CONCORDE/GRAND-PRE,-73.67434,45.585876
